00101122012B                                                                                                                                                                                                                                                                                                                                                                                                   
enteteLigne=>1|numClient=>  010121|nomClient=>LAHRACH                       |prenomClient=>AMINE                         |dateNaisClient=>27041984|numCinClient=>TY72364     |typeClient=>P|adrClient1=>appt1 fgdfgdfgd               |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13053804                |population=>3023   |numContratFiliale=>C121001366|codeProduit=>0000002|codePhase=>P300|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>01122012|dureeSousc=>120|primeAssurance=>000000000000|tauxAssurance=>0022700|montantCredit=>000009000000|tauxEmprunt=>0400|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>001|date1Ech=>15022013|dateDerEch=>15012023|capitalRestantDu=>000009000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>   12956|nomClient=>SENHAJI                       |prenomClient=>KARIM                         |dateNaisClient=>06091978|numCinClient=>QF945233    |typeClient=>P|adrClient1=>APPT 5 2EME ETAGE   RESIDENCE |adrClient2=>   AVENUE MED V   13692    KEN|codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13053803                |population=>3022   |numContratFiliale=>I121001362|codeProduit=>0000002|codePhase=>P300|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>01122012|dureeSousc=>300|primeAssurance=>000000000000|tauxAssurance=>0033200|montantCredit=>000070000000|tauxEmprunt=>0200|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>000|date1Ech=>15012013|dateDerEch=>15122037|capitalRestantDu=>000070000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  123456|nomClient=>ALAOUI                        |prenomClient=>MOHCINE                       |dateNaisClient=>06061980|numCinClient=>TR95633     |typeClient=>P|adrClient1=>TEST TEST TEST                |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13005673                |population=>3022   |numContratFiliale=>I121001357|codeProduit=>0000002|codePhase=>P300|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>01122012|dureeSousc=>300|primeAssurance=>000000000000|tauxAssurance=>0033200|montantCredit=>000060000000|tauxEmprunt=>0200|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>000|date1Ech=>15012013|dateDerEch=>15122037|capitalRestantDu=>000060000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  MBANQU|nomClient=>rabat                         |prenomClient=>Marocaine                     |dateNaisClient=>01011970|numCinClient=>00D         |typeClient=>P|adrClient1=>                              |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>8410539                 |population=>3023   |numContratFiliale=>C101000048|codeProduit=>0000002|codePhase=>PCTX|modePaiement=> |periodicite=>M|typeConvention=>X|dateEffet=>20082010|dureeSousc=>064|primeAssurance=>000000000000|tauxAssurance=>0000000|montantCredit=>000010000000|tauxEmprunt=>0450|typeTauxEmprunt=>F|pourcentageEmprunt=>000|dureeDiffere=>000|date1Ech=>31102010|dateDerEch=>01012012|capitalRestantDu=>000010000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  MBANQU|nomClient=>Rabat                         |prenomClient=>Marocaine                     |dateNaisClient=>01011970|numCinClient=>00M         |typeClient=>P|adrClient1=>                              |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>8420539                 |population=>3023   |numContratFiliale=>C101000091|codeProduit=>0000002|codePhase=>P006|modePaiement=> |periodicite=>M|typeConvention=>X|dateEffet=>02042010|dureeSousc=>064|primeAssurance=>000000000000|tauxAssurance=>0000000|montantCredit=>000010000000|tauxEmprunt=>0400|typeTauxEmprunt=>F|pourcentageEmprunt=>000|dureeDiffere=>000|date1Ech=>01052010|dateDerEch=>05122010|capitalRestantDu=>000010000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  020320|nomClient=>ASKARI                        |prenomClient=>FATIMA                        |dateNaisClient=>05091990|numCinClient=>AD845213    |typeClient=>P|adrClient1=>LOT MABROUKA IM               |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13005670                |population=>3023   |numContratFiliale=>C101000314|codeProduit=>0000002|codePhase=>P006|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>06122010|dureeSousc=>063|primeAssurance=>000000000000|tauxAssurance=>0027300|montantCredit=>000005160000|tauxEmprunt=>0450|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>001|date1Ech=>15012011|dateDerEch=>06122010|capitalRestantDu=>000005160000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=> 1122335|nomClient=>BOUZAIDI                      |prenomClient=>ACHRAF                        |dateNaisClient=>01011980|numCinClient=>SQ21112     |typeClient=>P|adrClient1=>NUM 10 APPT 15                |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13005689                |population=>3023   |numContratFiliale=>C111000469|codeProduit=>0000002|codePhase=>P006|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>06032011|dureeSousc=>121|primeAssurance=>000000000000|tauxAssurance=>0027300|montantCredit=>000014000000|tauxEmprunt=>0450|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>001|date1Ech=>15042011|dateDerEch=>30122011|capitalRestantDu=>000014000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=> 0286555|nomClient=>BOUZAIDI                      |prenomClient=>ACHRAF                        |dateNaisClient=>01011980|numCinClient=>SQ21112     |typeClient=>P|adrClient1=>RES SALAM N 15                |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>13005689                |population=>3023   |numContratFiliale=>C111000529|codeProduit=>0000002|codePhase=>PCTX|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>07032011|dureeSousc=>013|primeAssurance=>000000000000|tauxAssurance=>0027300|montantCredit=>000003500000|tauxEmprunt=>0450|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>001|date1Ech=>15042011|dateDerEch=>15032012|capitalRestantDu=>000003500000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  MBANQU|nomClient=>Rabat                         |prenomClient=>Marocaine                     |dateNaisClient=>01011970|numCinClient=>02M         |typeClient=>P|adrClient1=>                              |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>8420539                 |population=>3022   |numContratFiliale=>I101000080|codeProduit=>0000002|codePhase=>P006|modePaiement=>U|periodicite=>M|typeConvention=>X|dateEffet=>02042010|dureeSousc=>300|primeAssurance=>000000000000|tauxAssurance=>0000332|montantCredit=>000040000000|tauxEmprunt=>0300|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>000|date1Ech=>01052010|dateDerEch=>01122010|capitalRestantDu=>000040000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  MBANQU|nomClient=>Rabat                         |prenomClient=>Marocaine                     |dateNaisClient=>01011970|numCinClient=>02M         |typeClient=>P|adrClient1=>                              |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>8420539                 |population=>3022   |numContratFiliale=>I101000082|codeProduit=>0000002|codePhase=>P006|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>02042010|dureeSousc=>300|primeAssurance=>000000000000|tauxAssurance=>0033200|montantCredit=>000060000000|tauxEmprunt=>0420|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>000|date1Ech=>01052010|dateDerEch=>01122010|capitalRestantDu=>000060000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
enteteLigne=>1|numClient=>  221350|nomClient=>ASKARI                        |prenomClient=>FATIMA                        |dateNaisClient=>01011987|numCinClient=>A3000       |typeClient=>P|adrClient1=>                              |adrClient2=>                              |codePostal=>          |codeVille=>   |codePays=>MA |numCompteClient=>                        |population=>3022   |numContratFiliale=>I101000215|codeProduit=>0000002|codePhase=>P006|modePaiement=>P|periodicite=>M|typeConvention=>X|dateEffet=>01022010|dureeSousc=>152|primeAssurance=>000000000000|tauxAssurance=>0033200|montantCredit=>000035000000|tauxEmprunt=>0227|typeTauxEmprunt=>F|pourcentageEmprunt=>100|dureeDiffere=>000|date1Ech=>01032010|dateDerEch=>06122010|capitalRestantDu=>000035000000|codeRejet=>  |codeReseau=>ABB |dureeReport=>000|tauxSurprime=>0000000|filer=>                                                                                 
